observation_id,district_id,group_id,income_scenario_id,year,offer_rent_per_sqm,flat_size_sqm,utilities_eur,warm_rent_eur,monthly_income_eur,housing_stress_score,affordability_status,rent_source_id,income_source_id
affordability_paunsdorf_students_bafog_only_2026,paunsdorf,students,bafog_only,2026,8.93,30,120,387.9,992,0.391,critical,wohnungsboerse_2026,bafoeg_2024
affordability_paunsdorf_students_bafog_plus_minijob_2026,paunsdorf,students,bafog_plus_minijob,2026,8.93,30,120,387.9,1595,0.243,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_plagwitz_students_bafog_only_2026,plagwitz,students,bafog_only,2026,10.72,30,120,441.6,992,0.445,critical,wohnungsboerse_2026,bafoeg_2024
affordability_plagwitz_students_bafog_plus_minijob_2026,plagwitz,students,bafog_plus_minijob,2026,10.72,30,120,441.6,1595,0.277,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_plaussig_portitz_students_bafog_only_2026,plaussig_portitz,students,bafog_only,2026,10.17,30,120,425.1,992,0.429,critical,wohnungsboerse_2026,bafoeg_2024
affordability_plaussig_portitz_students_bafog_plus_minijob_2026,plaussig_portitz,students,bafog_plus_minijob,2026,10.17,30,120,425.1,1595,0.267,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_probstheida_students_bafog_only_2026,probstheida,students,bafog_only,2026,10.07,30,120,422.1,992,0.426,critical,wohnungsboerse_2026,bafoeg_2024
affordability_probstheida_students_bafog_plus_minijob_2026,probstheida,students,bafog_plus_minijob,2026,10.07,30,120,422.1,1595,0.265,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_reudnitz_thonberg_students_bafog_only_2026,reudnitz_thonberg,students,bafog_only,2026,10.8,30,120,444.0,992,0.448,critical,wohnungsboerse_2026,bafoeg_2024
affordability_reudnitz_thonberg_students_bafog_plus_minijob_2026,reudnitz_thonberg,students,bafog_plus_minijob,2026,10.8,30,120,444.0,1595,0.278,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_schleussig_students_bafog_only_2026,schleussig,students,bafog_only,2026,10.13,30,120,423.9,992,0.427,critical,wohnungsboerse_2026,bafoeg_2024
affordability_schleussig_students_bafog_plus_minijob_2026,schleussig,students,bafog_plus_minijob,2026,10.13,30,120,423.9,1595,0.266,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_schoenau_students_bafog_only_2026,schoenau,students,bafog_only,2026,7.87,30,120,356.1,992,0.359,critical,wohnungsboerse_2026,bafoeg_2024
affordability_schoenau_students_bafog_plus_minijob_2026,schoenau,students,bafog_plus_minijob,2026,7.87,30,120,356.1,1595,0.223,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
